Tijdstempel,What type of chocolate do you prefer?,What kind of mobile phone do you own?,What is your gender?,What is your nationality?,How did you travel to university today?,What subject are you majoring in?,How often do you check Facebook?,How many pairs of trousers do you own?,What is the most you ever paid for trousers?,What annual income do you expect to be earning in ten years? time?,What do you think the average income for the class with be in ten years? time?,What is the ideal age to get married?,When did you start your studies at Fontys?
9-7-2015 8:54:38,Milk,Iphone,Male,German,Walked,ICT,daily,5,30,40k,40k,,2012
9-7-2015 8:55:35,White,Samsung,Female,Kenyan,Bus,Software,daily,7,30,100000,100000,,2013
9-7-2015 8:55:56,Milk,HTC One M8,Male,Netherlands,Bicycle,ICT,YEs,45,,,,,September 2013
9-7-2015 8:56:29,milk chocholate,Iphone 6,female,Bulgarian,by train,ICT,every 30 minutes,7,50 euros,I have no idea,I have no idea,,2013
9-7-2015 8:56:56,Milk,HTC One M8,Male,Netherlands,Bicycle,ICT,Yes,45,?120,Enough to buy a Tesla,"?3,500",,September 2013
9-7-2015 8:57:04,milk,iphone,female,dutch,by bike,software,3x per dag,20,?100,"?60,000","?60,000",,01-09-2012
9-7-2015 8:57:57,90% dark,LG Nexus 4,Male,German,By train,Software Engineering,twice a month,4,120e,"100,000","100,000",,2012
9-7-2015 8:57:58,White,Iphone ,Male,Dutch,"Bike, Bus, Train",Software engineering,Never,5,150 euro,"200,000","25,000",,2012
9-7-2015 8:58:13,"white, with fruits",nokia,male,Bulgarian,by car,applied data science,twice a day,5,15,24000,26000,,2013
9-7-2015 8:58:13,Snickers,LG Nexus 5,Man,Dutch,Bike,Media design,once a day,8,80 euro,10.000.000 euro,10.000.000 euro,,2012
9-7-2015 8:58:13,Milk with nuts,Nokia Lumia 720,M,The Netherlands,With a bike,ICT & Software Engineeriung,once a day,6,150 euro,"120,000","50,000",,Two thousend twelve
9-7-2015 8:58:14,none,LG G2,Male,Dutch,Train,Software,once a month,5,100 euro,70k euro,40k euro,,Tilburg
9-7-2015 9:00:09,Milk chocolate,iPhone 5s,Male,Chinese,By bike,ICT & Software,Almost everyday,6,85,40000,30000,,2013
9-7-2015 9:00:15,hazelnut ,Sumsung ,male,Iranian,walking,ICT & technology,10 times per day,6 peers ,50 euros,30 000,10 000,,2013
9-7-2015 9:01:59,White,Samsung Galaxy Alpa,Male,Netherlands,by car,Software engineering,Few times a day,10,"25,- euro","360,000","24,000",,01/09/2012
9-7-2015 9:02:27,milk chocolate,android phone,male,Nepalese,Bicycle,ICT& Software,everyday,6,20,35000,25000,,2013
9-7-2015 9:02:54,Dark,iPhone,Male,Dutch,Car,Media Design,as less as possible,8,?90,8000000,35000,,2012
9-7-2015 9:04:03,Hazelnut,iPhone,Male,Dutch,Train,Software Engineering,often,many,100,1000000.50,5000,,2013
9-7-2015 9:04:43,Milk,iPhone,Female,Omani,Walking,Software Engineering  ,n/a,n/a,n/a,n/a,n/a,,Feb '13
9-7-2015 9:05:01,dark,smartphone,m,german,car,software engineering,never,a lot,50,80k,less,,2013
9-7-2015 9:05:05,dark,smartphone,male,estonian,bike,IT,often,,,,,,2013
9-7-2015 9:05:07,Milk,Iphone,Male,Dutch,Train,Big Data,5 times a d ay,7,160,"120,000","60,000",,2012
9-7-2015 9:05:27,Plain,Apple IPhone,M,Omani,Bike,ICT,4-5 times a day,7,100,1500,600-800,,2013
9-7-2015 9:05:41,Black Chocolate,Android,Male,Bulgarian,By Foot,Data Science,once-twice a week,6,30,500 000,1 000 000,,2013
9-7-2015 9:05:49,Pure,iPhone,Male,Dutch,"Bike, bus and train",PHP,A few times a day (6),I don't know exactly,80,30000-40000,35000,,2012
9-7-2015 9:06:01,dark,iphone,male,russian,walk,math,once a day,4,100,100 000,9 999 999,,3 years ago
9-7-2015 9:06:07,Lindt,Samsung,Male,Bulgaria,By foot,Database,Daily,6,150,5000,100000,,2013
9-7-2015 9:06:11,pure,Sony (Windows Phone),Male,Dutch,Train,ICT & Media Design,EVERY DAY,I have no idea,60 euro,"250,000","60,000",,2013
9-7-2015 9:06:43,Sneakers,Samsung,Female,Bangladeshi,Bus,Software engineering ,Few times a day,5,20 Euro,"100,000  Euro","80,000 Euro",,February 2013
9-7-2015 9:06:49,White,Android LG G2,Male,Dutch,Bike & Train,Software,5 times per hour,8,?50,"?75,000","?74,000",,2012
9-7-2015 9:06:50,Dark,iPhone 6,Male,The Netherlands,Train,Software,Daily,5,200,75000,65000,,2013
